road_id,idle_driver_count
"(2281095539, 2280678683)",2
"(571449373, 2281095531)",3
"(436858552, 2146675897)",12
"(6026248379, 2248512770)",3
"(4677706891, 2248512786)",6
"(2146675868, 1846778809)",5
"(4636791661, 4636791676)",5
"(4529833768, 1129182077)",1
"(4737855165, 1846778809)",2
"(4744225607, 436861937)",3
"(4529774388, 4529833718)",6
"(436858552, 436831633)",8
"(2146675864, 5649507832)",5
"(436858552, 2146675839)",2
"(1846778809, 4737855165)",5
"(5114995570, 1887976782)",3
"(4529774387, 798561405)",2
"(4677565731, 4677565732)",2
"(355173356, 4677565748)",7
"(4529833768, 4529833757)",4
"(2140367695, 2140367628)",3
"(1846778809, 2140367654)",1
"(436831633, 2146675839)",4
"(1129182077, 4529833776)",4
"(436859619, 4492074243)",2
"(4492074243, 2248512786)",4
"(436859619, 3905328343)",7
"(4737855158, 2146675868)",2
"(4492074252, 436859619)",3
"(448253875, 4493518924)",3
"(3905328343, 436871646)",4
"(4492074252, 2248512786)",4
"(4737855165, 2932339394)",1
"(2146675897, 2146675868)",4
"(4493518910, 1887976773)",4
"(4744225601, 4744225607)",7
"(4677565732, 4677706891)",5
"(2248512786, 4677565732)",6
"(2140367654, 436871646)",4
"(436871646, 1129182077)",1
"(4617370857, 4617353675)",2
"(5114995570, 4737855158)",2
"(1846778809, 2146675868)",4
"(2248512770, 436859619)",2
"(4636791661, 2146675897)",3
"(4529833718, 1129182077)",2
"(4529774589, 4529833768)",3
"(355173356, 1887976782)",1
"(2146675868, 2146675897)",2
"(1129182077, 436871646)",2
"(436871646, 2140367654)",5
"(2140367628, 436861937)",3
"(448253875, 436861937)",6
"(3905328343, 2932339394)",5
"(436871646, 6026248379)",5
"(2146675839, 436858552)",2
"(436861937, 2146675868)",3
"(1129182077, 4529833757)",1
"(2140367628, 2140367654)",4
"(436861937, 4744225607)",5
"(448253875, 4493518910)",4
"(4744225607, 4493518910)",2
"(4492074216, 4737855165)",3
"(2248512770, 6026248379)",5
"(798561405, 798560466)",5
"(1887976782, 1887976773)",2
"(436859619, 4492074252)",4
"(436871646, 3905328343)",4
"(4677706891, 4492074216)",5
"(4744225598, 2932339394)",3
"(2932339394, 4492074243)",6
"(2140367675, 2140367667)",4
"(2452999837, 4677565748)",8
"(4492074243, 436859619)",5
"(4737855158, 5114995570)",3
"(3905328343, 436859619)",5
"(4492074243, 2932339394)",4
"(2146675868, 436861937)",4
"(4677565748, 5114995570)",4
"(2248512786, 4492074252)",3
"(4617353675, 4529774589)",2
"(4737855158, 2452999837)",7
"(2248512786, 4492074243)",4
"(4492074252, 2146675864)",3
"(4677565732, 4677565748)",3
"(436861937, 448253875)",2
"(4493518910, 448253875)",2
"(1887976782, 4744225607)",5
"(2248512786, 4677706891)",2
"(5114995570, 2452999837)",3
"(2146675897, 436858552)",2
"(4493518924, 448253875)",3
"(4492074243, 4492074216)",1
"(4493518910, 4744225607)",3
"(4737855165, 4492074216)",2
"(1887976782, 355173356)",2
"(2932339394, 4744225601)",1
"(4492074216, 4492074243)",5
"(436859619, 2248512770)",2
"(2932339394, 3905328343)",4
"(2140367654, 1846778809)",1
"(4744225598, 4737855158)",4
"(4744225607, 1887976782)",2
"(2146675897, 4636791676)",1
"(4677565732, 2248512786)",1
"(4677706891, 4677565732)",1
